"","year","prd_PCANN","res_PCANN","prd_PCANN_LOOCV","res_PCANN_LOOCV","obs","y90_PCANN_BCbased","y70_PCANN_BCbased","y30_PCANN_BCbased","y10_PCANN_BCbased","Ymod_PCANN_BC_1","Ymod_PCANN_BC_2","Ymod_PCANN_BC_3"
"result.1",1986,19.826882778105,-13.209117221895,19.1476817928224,-13.8883182071776,33.036,10.3129475470999,15.1784248564219,25.8988751072781,38.116977647422,0.37596714876173,0.89186549199117,0.999798122468931
"result.2",1987,55.680814007469,5.01681400746895,58.3856986379325,7.72169863793249,50.664,28.9631617906311,42.6268024705754,72.7322668306646,107.042826978904,0.00616023031125573,0.170997615502084,0.911632534309638
"result.3",1988,37.5683385048693,3.46233850486929,72.6818286024746,38.5758286024746,34.106,19.5414956829252,28.7605572483376,49.0733164004793,72.2235056292544,0.00168161432634218,0.0838197942887327,0.821547600392448
"result.4",1989,19.8265505706152,7.58655057061518,20.2449429708427,8.00494297084267,12.24,10.3127747448073,15.1781705329109,25.8984411657763,38.1163389989776,0.335278691918037,0.870174586795492,0.999696339733155
"result.5",1990,19.8269879263635,4.17998792636345,20.1037784139355,4.4567784139355,15.647,10.3130022414106,15.1785053533236,25.899012455753,38.1171797884698,0.340294673115925,0.873052744197886,0.999711336047422
"result.6",1991,85.8117803798927,-11.7652196201073,72.7084863462583,-24.8685136537417,97.577,44.6367271472125,65.6940674429238,112.089879350232,164.965782272204,0.00167772323822444,0.0837090912382248,0.821359821677434
"result.7",1992,95.0172697934199,-21.2367302065801,86.3526430776126,-29.9013569223874,116.254,49.4252830503063,72.7415032448424,124.114222620763,182.662046475756,0.000536820281307783,0.0429089902594793,0.720128794424095
"result.8",1993,95.2428378887345,16.9248378887345,100.844694623219,22.5266946232195,78.318,49.5426203119053,72.9141912457541,124.408862760332,183.095668953074,0.000175253779205308,0.0215783014780044,0.609845291506392
"result.9",1994,19.8266233584383,1.20562335843826,19.9593852989046,1.33838529890462,18.621,10.3128126063814,15.1782262560631,25.8985362438455,38.116478929039,0.345491652684071,0.875970954010738,0.999726061437072
"result.10",1995,36.7563571877769,-2.93364281222311,35.4258734224812,-4.26412657751884,39.69,19.1191253874687,28.1389357116916,48.0126843432741,70.6625480701172,0.0638983585236407,0.511867531199149,0.990119599781374
"result.11",1996,19.8265506101254,10.9425506101254,20.4514671040139,11.5674671040139,8.884,10.3127747653473,15.1781705631407,25.8984412173563,38.1163390748897,0.328055053380447,0.865920004509254,0.99967329505396
"result.12",1997,20.4587963536036,-22.9952036463964,19.2755685324843,-24.1784314675157,43.454,10.641646169698,15.6621902373146,26.7243033282366,39.3317918915649,0.371022622099668,0.88942083551559,0.999787907330736
"result.13",1998,94.9524707343645,9.97947073436448,97.7441196109656,12.7711196109656,84.973,49.3915755180028,72.69189507749,124.029581199446,182.537479525246,0.000221091648760967,0.0249432005380131,0.633135850805757
"result.14",1999,19.826550527871,9.65555052787099,20.4419157937214,10.2709157937214,10.171,10.312774722593,15.1781705002166,25.8984411099915,38.1163389168769,0.32838613766454,0.866117899365532,0.999674390429008
"result.15",2000,19.8265505273594,10.8195505273594,20.5011698448616,11.4941698448616,9.007,10.3127747223139,15.1781704998059,25.8984411092907,38.1163389158455,0.32633684073528,0.864888461742352,0.999667547852908
"result.16",2001,26.4986747757587,-7.58032522424127,24.7284502744881,-9.35054972551192,34.079,13.7833854951075,20.286064480032,34.6137965606789,50.943032755159,0.20674914323849,0.768783673096113,0.998801120594205
"result.17",2002,19.8265505338231,11.0045505338231,20.5030712318407,11.6810712318408,8.822,10.3127747256628,15.1781705047347,25.8984411177005,38.1163389282225,0.326271265702159,0.864848941932774,0.99966732641624
"result.18",2003,19.8265936642813,0.0275936642813335,19.9094084987993,0.110408498799309,19.799,10.3127971605901,15.1782035235645,25.8984974563399,38.116421843971,0.347306083585587,0.876974825051263,0.999731016772568
"result.19",2004,19.8266659181354,-26.3053340818646,18.4513744395087,-27.6806255604913,46.132,10.3128347443977,15.1782588379111,25.8985918368812,38.1165607474538,0.403833840249732,0.904760596330286,0.99984706138746
"result.20",2005,58.3424101939337,3.57241019393366,63.6174581666999,8.84745816669987,54.77,30.3476666323215,44.6644272713243,76.2088997797452,112.159436113411,0.0037795304419601,0.131664889496408,0.881506517465256
"result.21",2006,19.8265505273648,10.6035505273648,20.5052485486455,11.2822485486455,9.223,10.3127747223139,15.1781704998059,25.8984411092907,38.1163389158455,0.326196188467655,0.864803681767477,0.999667072701446
"result.22",2007,19.9049191272271,-13.1120808727729,19.2618034153995,-13.7551965846005,33.017,10.3535392228589,15.2381660613798,26.0008090062169,38.2669976931935,0.37155224705715,0.889685068298802,0.999789026262268
"result.23",2008,19.8267079546415,-10.7102920453585,19.3166774446158,-11.2203225553842,30.537,10.3128566102494,15.1782910191982,25.8986467464569,38.116641559994,0.369444622671018,0.888630144820492,0.99978453744992
"result.24",2009,19.8265507226049,5.40855072260489,20.2018293183769,5.78382931837693,14.418,10.3127748238972,15.1781706493122,25.898441364387,38.1163392912806,0.33680386715878,0.871056228685026,0.999700983795097
"result.25",2010,95.242782580054,1.40078258005401,95.5554756615491,1.71347566154911,93.842,49.5425915409363,72.9141489028448,124.408790514893,183.095562629321,0.00026108613195583,0.0276496669428132,0.649729446971041
"result.26",2011,19.8265505282596,10.5385505282596,20.4923716388216,11.2043716388216,9.288,10.3127747227604,15.1781705004631,25.898441110412,38.1163389174958,0.326640422349442,0.865071274556257,0.999668570980692
