"","year","prd_PCMCQRNN","res_PCMCQRNN","prd_PCMCQRNN_LOOCV","res_PCMCQRNN_LOOCV","obs","y90_PCMCQRNN","y70_PCMCQRNN","y30_PCMCQRNN","y10_PCMCQRNN","Ymod_PCMCQRNN_1","Ymod_PCMCQRNN_2","Ymod_PCMCQRNN_3"
"result.1",1986,22.9380194415374,-10.0979805584626,22.7175979952029,-10.3184020047971,33.036,6.57719627290545,14.7552015032769,31.1250277399439,39.3156027717012,0.380952380952381,0.80952380952381,1
"result.2",1987,58.7165868009481,8.05258680094808,60.7642784504405,10.1002784504405,50.664,42.3256187482347,50.5200595943762,66.9145738319818,75.1133937049078,0,0,1
"result.3",1988,58.5312815503594,24.4252815503594,58.8131043550077,24.7071043550077,34.106,42.1404081417771,50.3347945875946,66.7292425064131,74.9280504811642,0,0,1
"result.4",1989,13.9306753622532,1.69067536225325,14.5981594334644,2.35815943346438,12.24,0,5.75318969682963,22.1130363864785,30.2996505611697,0.523809523809524,1,1
"result.5",1990,32.1454039229279,16.4984039229279,32.1111827040326,16.4641827040326,15.647,15.7745431357725,23.9579171687504,40.3363796254053,48.5302194374838,0.142857142857143,0.571428571428571,1
"result.6",1991,50.7903745231396,-46.7866254768604,48.6294917163966,-48.9475082836034,97.577,34.4040268582396,42.5958548773828,58.9869598735151,67.1849843747553,0,0.19047619047619,1
"result.7",1992,76.8390365843911,-39.4149634156089,61.3898988385779,-54.8641011614221,116.254,60.4419068955574,68.6401213186055,85.0380254263096,93.2364605552408,0,0,1
"result.8",1993,94.4456422030893,16.1276422030893,99.0626127524578,20.7446127524578,78.318,78.0483952187576,86.2473418250252,102.642669274503,110.837796350389,0,0,1
"result.9",1994,28.0228900100604,9.40189001006042,28.5429300436586,9.92193004365859,18.621,11.6563281621186,19.8373959360575,36.2121872196428,44.4046632389344,0.238095238095238,0.666666666666667,1
"result.10",1995,33.491719258912,-6.19828074108801,33.4018359019917,-6.28816409800829,39.69,17.119523144541,25.3036160724556,41.6832087427529,49.8774595282729,0.142857142857143,0.571428571428571,1
"result.11",1996,17.0629554165612,8.17895541656121,17.9589689131745,9.07496891317451,8.884,0.709362552640194,8.88352968001818,25.2470184492309,33.4350960503381,0.476190476190476,0.904761904761905,1
"result.12",1997,51.6488619722522,8.19486197225216,53.0424936687928,9.58849366879284,43.454,35.2619573019461,43.4540965880953,59.8456274572795,68.0437664343209,0,0.142857142857143,1
"result.13",1998,68.6638683343255,-16.3091316656745,66.8779862896975,-18.0950137103025,84.973,52.2687596962129,60.4656509756922,76.8627847190686,85.0617728629748,0,0,1
"result.14",1999,4.03991510573942,-6.13108489426058,3.71847089270629,-6.45252910729371,10.171,0,0,12.2163001891661,20.3976908602431,0.714285714285714,1,1
"result.15",2000,4.26461785052327,-4.74238214947673,2.61456276410323,-6.39243723589677,9.007,0,0,12.4411488418349,20.62266834349,0.714285714285714,1,1
"result.16",2001,48.5321925491841,14.4531925491841,49.1605292033392,15.0815292033392,34.079,32.1473756555259,40.3383521228316,56.7282712202636,64.9259617372969,0,0.19047619047619,1
"result.17",2002,14.4837138880756,5.66171388807557,15.25958705052,6.43758705052,8.822,0,6.30587903237004,22.6663820816676,30.8532613110924,0.523809523809524,0.952380952380952,1
"result.18",2003,26.1591819047021,6.36018190470208,25.7346672157247,5.93566721572473,19.799,9.79466747033364,17.9746406996645,34.3476682118178,42.5394755428395,0.285714285714286,0.714285714285714,1
"result.19",2004,27.9505091649915,-18.1814908350085,26.5609649471615,-19.5710350528385,46.132,11.5840256244764,19.7650514930542,36.1397754869161,44.3322261423935,0.238095238095238,0.666666666666667,1
"result.20",2005,39.0459139105068,-15.7240860894932,36.0024712691616,-18.7675287308384,54.77,22.668566088792,30.8554463586996,47.2393440607866,55.4351112206509,0.0476190476190476,0.476190476190476,1
"result.21",2006,3.1411467742635,-6.0818532257365,5.75173314467717,-3.47126685532283,9.223,0,0,11.316943537849,19.497814186739,0.761904761904762,1,1
"result.22",2007,37.5895088151355,4.57250881513549,37.1738629921844,4.1568629921844,33.017,21.2134562421761,29.3996334115892,45.7824579503074,53.9778553752634,0.0476190476190476,0.476190476190476,1
"result.23",2008,22.0566361131138,-8.4803638868862,21.6981345951859,-8.83886540481405,30.537,5.69685664388692,13.8743065577382,30.2432231112791,38.4334440540797,0.380952380952381,0.80952380952381,1
"result.24",2009,15.7297940121364,1.31179401213643,16.2654525841093,1.84745258410926,14.418,0,7.55118282795802,23.9131438361996,32.1006097901078,0.523809523809524,0.952380952380952,1
"result.25",2010,88.1915769476624,-5.65042305233762,87.3560727723954,-6.48592722760456,93.842,71.7937090478898,79.9927268540798,96.3896320819769,104.586265253616,0,0,1
"result.26",2011,10.8741212861635,1.58612128616351,12.1124454261818,2.82444542618179,9.288,0,2.69861696800494,19.05473311265,27.2398307727129,0.571428571428571,1,1
"result.27",2012,29.7044106344279,13.0814106344279,28.9504108446995,12.3274108446995,16.623,13.3360570601343,21.5180846339173,37.8944116432004,46.0874631193527,0.238095238095238,0.666666666666667,1
"result.28",2013,20.3882257447302,1.35322574473021,20.5129734366582,1.4779734366582,19.035,4.03046156952576,12.2068405040796,28.5739953808209,36.7635261637441,0.380952380952381,0.857142857142857,1
"result.29",2014,4.71403604428287,-8.41296395571713,2.84778800955018,-10.2792119904498,13.127,0,0,12.8908574446386,21.072633197279,0.714285714285714,1,1
"result.30",2015,11.6821094389138,-10.8118905610862,11.0305026397655,-11.4634973602345,22.494,0,3.50607289046234,19.8631921434473,28.0486991856891,0.571428571428571,1,1
