"","model_names","y90","y70","frwrd_prd","y30","y10"
"1","PCR",-13.791735339167,-1.12984785761723,7.62322475495805,16.3762973675333,29.0381848490831
"2","PCR-BC",4.35946836352251,6.06648267473204,7.62322475495805,9.57942755229029,13.3302518327454
"3","PCQR",-6.39212853541973,8.66602070122709,10.6111549708822,14.1990648591688,32.8256349346963
"4","PCANN",0.724684346630983,12.31691034859,20.3305336006039,28.3441568526178,39.9363828545769
"5","PCANN-BC",10.4778931010193,15.5054659877837,20.3305336006039,26.6570093540895,39.447162012232
"6","PCMCQRNN",0,0,4.58969462594608,12.6965188230007,20.8112384331738
"7","PCSVM",-8.59728328452134,1.79876700860629,8.9854825146734,16.1721980207405,26.5682483138681
"8","PCSVM-BC",5.80136100567124,7.51410403590134,8.9854825146734,10.7449656959945,13.9171242652845
"9","PCRF",-8.43036118521021,2.85277746537951,10.6527308333333,18.4526842012872,29.7358228518769
"10","PCRF-BC",6.45347511780551,8.67946490067283,10.6527308333333,13.0745939000462,17.584247675437
