Year	ObsMarMayFlow_kaf	LookoutMountainWYTDPrecip_in	LookoutMountainMar1SWE_in	SignalPeakWYTDPrecip_in	SignalPeakMar1SWE_in	SilverCreekDivideWYTDPrecip_in	SilverCreekDivideMar1SWE_in
1986	33.036	9.3	0	13.8	1	16.6	8.3
1987	50.664	11.2	5.1	15.8	6.9	19.8	10.5
1988	34.106	9.2	4.2	11.5	7.7	17.1	10.8
1989	12.24	4.7	0	7.2	0	9.8	5.4
1990	15.647	5.4	1.1	8.3	4.3	12.8	7.2
1991	97.577	7.8	1.6	16.4	7.9	20.2	10.8
1992	116.254	11.2	6.8	14.7	9.3	20	13.5
1993	78.318	11	4.7	28.4	12.8	29.2	20.4
1994	18.621	4.5	0.5	8.3	2.5	12.2	8.2
1995	39.69	10.5	0.1	23.6	5.3	21.6	8.1
1996	8.884	3.4	0.1	6.5	0.5	8.5	6.1
1997	43.454	9.7	3.8	12.8	4.9	15.2	11.4
1998	84.973	7.3	4	14.8	9.4	18.3	13.7
1999	10.171	5.4	0	9	0	7.4	1
2000	9.007	2.1	0	1.9	0	1.2	1.1
2001	34.079	10.2	3.4	14.3	4.7	22.8	10.8
2002	8.822	2.5	0	5.1	1.4	4.6	4.1
2003	19.799	4.1	0.2	7	3.4	12.2	6.8
2004	46.132	4.8	0.4	7.2	4.5	12.3	6.1
2005	54.77	10.2	0.3	21.5	4.2	22.5	11.5
2006	9.223	2.3	0	3.1	0	3.4	0.6
2007	33.017	5.3	0.8	13.3	6.6	12.6	7.5
2008	30.537	5	0.2	11.6	0.3	19.1	8.4
2009	14.418	5.3	0	5.9	0	13.1	6.2
2010	93.842	8.5	5.1	15.5	13.4	18.7	16.4
2011	9.288	2.8	0.1	4.7	0	5.5	3.9
2012	16.623	8.3	0	12.3	4.9	11.5	7
2013	19.035	3.7	0.4	6.2	2	9	5.5
2014	13.127	3.6	0	2.6	0	5.2	1.3
2015	22.494	6.5	0	8.1	0	9.8	4.4
