"","year","prd_PCANN","res_PCANN","prd_PCANN_LOOCV","res_PCANN_LOOCV","obs","y90_PCANN_BCbased","y70_PCANN_BCbased","y30_PCANN_BCbased","y10_PCANN_BCbased","Ymod_PCANN_BC_1","Ymod_PCANN_BC_2","Ymod_PCANN_BC_3"
"result.1",1986,19.9083834747686,-13.1276165252314,19.1236120658219,-13.9123879341781,33.036,10.3481109631405,15.2364678510216,26.0127592217662,38.3003982868227,0.377030926369613,0.892077932397468,0.99979711737994
"result.2",1987,55.3351486865911,4.6711486865911,58.0404805652871,7.37648056528711,50.664,28.7632580669562,42.3500818695868,72.30138788555,106.452645195779,0.00641345361664268,0.17422588458772,0.913251719846144
"result.3",1988,36.6254677759132,2.51946777591317,72.6855455209442,38.5795455209442,34.106,19.0377388968275,28.030728627925,47.8553722844859,70.4601180930204,0.00169809577211676,0.0840313630461274,0.821264665019899
"result.4",1989,19.9081815961385,7.66818159613846,20.3053691656474,8.06536916564735,12.24,10.3480060265369,15.2363133457387,26.0124954453732,38.3000099166197,0.333318424793435,0.868680270731564,0.999685539388893
"result.5",1990,19.9084444668011,4.26144446680106,20.1462412464317,4.49924124643171,15.647,10.3481426668202,15.2365145305008,26.0128389144759,38.3005156220909,0.338941538996872,0.871935712980661,0.999702890960671
"result.6",1991,86.2570283139564,-11.3199716860436,72.6688290436227,-24.9081709563773,97.577,44.8370120540173,66.0160872196186,112.703636609709,165.937557641121,0.00170055975332633,0.0841009130389833,0.821382374284874
"result.7",1992,94.9974096486663,-21.2565903513337,89.1531106202789,-27.1008893797211,116.254,49.3804518829586,72.7055411509406,124.123708043531,182.751453548724,0.000434967977581369,0.037653959820806,0.698491338685107
"result.8",1993,95.1806287388977,16.8626287388977,100.819415673573,22.501415673573,78.318,49.475693264832,72.8457680210101,124.363099657164,183.103912165264,0.000178161021583862,0.0217154870345363,0.609919542091393
"result.9",1994,19.9082224854041,1.28722248540406,19.9396577147123,1.31865771471231,18.621,10.3480272807745,15.2363446397952,26.0125488715939,38.3000885785195,0.346362696664508,0.876115132726189,0.999724275679077
"result.10",1995,36.2281341924361,-3.46186580756395,33.7723791665028,-5.91762083349717,39.69,18.8312013312299,27.7266322694773,47.3362160734195,69.6957476820869,0.0767079195078417,0.54909424771892,0.992282836088419
"result.11",1996,19.9081816134536,11.0241816134536,20.5200982669309,11.6360982669309,8.884,10.3480060354978,15.2363133589325,26.012495467898,38.300009949784,0.325858312116866,0.864238926877657,0.999660864237392
"result.12",1997,20.4200897110709,-23.0339102889291,19.274016442926,-24.179983557074,43.454,10.6140962386717,15.6280959437471,26.6813591227298,39.2848086948415,0.37121503268468,0.889203971554973,0.999785003387088
"result.13",1998,94.9417771189422,9.96877711894223,97.7992756100067,12.8262756100067,84.973,49.3515328505741,72.6629627527923,124.051019323355,182.644433232209,0.000223303198030368,0.0250008779939245,0.632582816579537
"result.14",1999,19.9081815781815,9.73718157818152,20.4186371210654,10.2476371210654,10.171,10.3480060171839,15.2363133319677,26.0124954218629,38.3000098820045,0.329365042921629,0.86634433237627,0.999672707166925
"result.15",2000,19.908181578001,10.901181578001,20.5093144636414,11.5023144636414,9.007,10.3480060170719,15.2363133318028,26.0124954215814,38.3000098815899,0.326229478281913,0.864463275710403,0.999662138805746
"result.16",2001,25.9815839647088,-8.09741603529122,24.7033445157632,-9.37565548423678,34.079,13.5049757158195,19.8845238075931,33.948045783381,49.9838625171901,0.207567682182524,0.769150727899681,0.998796139176119
"result.17",2002,19.9081815804813,11.0861815804813,20.5188256640773,11.6968256640773,8.822,10.34800601836,15.2363133336994,26.0124954248193,38.3000098863573,0.325902094527783,0.864265409502078,0.999661014847308
"result.18",2003,19.9082052172729,0.10920521727293,19.909202227413,0.110202227413033,19.799,10.3480183047839,15.236331423835,26.0125263088812,38.3000553583923,0.347468380271572,0.876726718242064,0.999727322127356
"result.19",2004,19.9082471926694,-26.2237528073306,18.3941974134718,-27.7378025865282,46.132,10.348040123642,15.2363635492205,26.0125811543736,38.3001361099515,0.406291403615389,0.905551204837004,0.999848369337496
"result.20",2005,58.457970380036,3.68797038003598,63.4749662698477,8.70496626984765,54.77,30.3865482574817,44.7401223529938,76.3816479420504,112.460100996768,0.00386190235300691,0.132861067759,0.882126185092536
"result.21",2006,19.9081815780027,10.6851815780027,20.4651864059359,11.2421864059359,9.223,10.3480060170719,15.2363133318028,26.0124954215814,38.3000098815899,0.327752146414377,0.865379903209569,0.999667315050578
"result.22",2007,19.9661673893455,-13.0508326106545,19.2682107254264,-13.7487892745736,33.017,10.3781470750368,15.2806920559126,26.0882602057004,38.4115618804956,0.371438153810546,0.889315495871716,0.999785481462313
"result.23",2008,19.9082745976115,-10.6287254023885,19.2324084144007,-11.3045915855993,30.537,10.3480543687463,15.2363845232543,26.0126169619193,38.3001888310599,0.372816523640393,0.890002198919254,0.999788410903203
"result.24",2009,19.908181665093,5.49018166509305,20.2192569219979,5.80125692199795,14.418,10.3480060623805,15.2363133985137,26.0124955354724,38.300010049277,0.336351333158353,0.870445805131844,0.999695026000009
"result.25",2010,95.1805960695971,1.33859606959713,95.5784378182526,1.73643781825255,93.842,49.4756762823992,72.8457430172428,124.363056971393,183.103849318586,0.000264244986971159,0.0277499528935996,0.64940286453522
"result.26",2011,19.9081815783221,10.6201815783221,20.5071876236638,11.2191876236638,9.288,10.3480060172399,15.2363133320502,26.0124954220037,38.3000098822117,0.326302725067616,0.86450750690821,0.999662389735598
"result.27",2012,19.9095425753604,3.28654257536044,20.0923938527979,3.46939385279793,16.623,10.3487134642596,15.2373549543069,26.0142737130533,38.3026281425024,0.340862698751095,0.873030261464073,0.999708587517729
"result.28",2013,19.9081817665827,0.873181766582714,19.9514339031667,0.916433903166709,19.035,10.3480061151379,15.236313476192,26.0124956680872,38.3000102445319,0.345935965576324,0.875878334397928,0.999723090494356
"result.29",2014,19.9081815780098,6.78118157800982,20.2788388056255,7.15183880562548,13.127,10.3480060170719,15.2363133318028,26.0124954215814,38.3000098815899,0.334250313348014,0.86922517625614,0.999688486671951
"result.30",2015,19.9081815873808,-2.58581841261915,19.7128302290595,-2.78116977094049,22.494,10.3480060219444,15.2363133389769,26.0124954338292,38.300009899623,0.354669674953672,0.880641394091804,0.999746329177736
