"","year","obs","prd_PCR","prd_PCQR","prd_PCANN","prd_PCRF","prd_PCMCQRNN","prd_PCSVM","prd_ensemble"
"1",1986,399.89,353.478960697571,362.15667067854,346.194523107853,389.848637666667,411.217927281645,399.965606585044,386.806673660302
"2",1987,63.38,41.9057101648442,63.38,85.8326595484296,105.553808333333,9.66592081805697,93.3042954415488,73.5891710353422
"3",1988,53.37,49.7759926173291,73.3737021622501,87.9011999903028,70.598049,53.8909415317061,52.6970832746298,66.2718184491596
"4",1989,345.35,553.208788569266,525.443274137208,584.565891038763,456.860902333334,598.002042419837,345.437399958084,496.216558937504
"5",1990,118.74,133.069618893422,119.101345357505,114.342734956298,167.684922666667,116.369123049674,98.6570214291512,124.263450525447
"6",1991,155.14,137.524809809109,124.070313288373,112.83163305795,143.698953666666,71.5873553041273,155.166388282161,120.821082577726
"7",1992,23.74,-50.925623682736,-14.9473810757662,38.3255156110573,58.2931653333334,0,23.7568924906001,30.0938933587477
"8",1993,413.73,394.745169987724,382.261792628679,370.998871112575,389.074878333334,425.621769587924,361.334405696445,386.757481182569
"9",1994,44.26,-7.83382248857413,3.47348919788821,53.0317266374755,102.516200333333,0,44.1729253650068,49.9302130839539
"10",1995,429.3,334.824539551498,330.758778107666,315.748215992407,379.041380333334,342.703957152443,221.858462762781,314.838004060241
"11",1996,363.54,498.143364031969,449.49508541199,488.178644160454,357.580270666667,500.43120999531,420.953444971794,441.785892448556
"12",1997,377.41,391.516507233174,377.664528175469,386.420332784,380.708524,440.201938757776,377.436996410756,396.191947988133
"13",1998,628.74,391.342733486276,356.614071907378,357.490811337236,575.367994,342.742276976265,356.841038947468,408.110530315242
"14",1999,358.57,386.970810479297,319.484942004175,311.916197747218,354.194256666667,322.815257685303,358.587173611311,336.878221427625
"15",2000,146.01,342.904603688521,293.118695951435,274.369393300929,227.656725666666,297.465842987305,299.435053632282,274.731753896796
"16",2001,114.65,61.4278855956483,80.8152791609075,76.2540263965839,90.1589606666667,35.931433654219,49.6898692035354,63.0085724802513
"17",2002,249.26,398.225086634613,334.172147063959,331.435149238036,242.355893666666,364.734136109362,277.562179258403,304.021839568117
"18",2003,109.91,31.4696212538628,69.4078072592281,72.3437501081098,86.8108966666667,39.1949536986855,43.1179476516192,60.3668870312703
"19",2004,152.01,264.266249381564,243.341782453665,211.092095718834,182.943970333333,206.786209540226,156.140232743201,189.240627083898
"20",2005,553.66,276.271656907868,245.195631591358,213.650733680976,464.478596000001,258.188239646353,276.305000267325,303.155642398664
"21",2006,869.61,692.174316087823,575.327770667761,763.774120311262,741.352131333332,704.248199913325,869.532872226139,769.726830946015
"22",2007,62.9,76.0897640002754,104.091904314904,94.9348114814003,76.325381,54.045052672194,65.449207056554,72.6886130525371
"23",2008,329.45,515.094402377174,408.984644270043,472.052557141339,347.571072666667,474.050084115215,329.525943797363,405.799914430146
"24",2009,225.2,316.930518351339,274.376394349557,250.079093761044,268.496276,285.775914993022,225.070840023306,257.355531194343
"25",2010,257.02,337.059495360345,257.02,263.598633043713,265.468413666667,273.20839340972,256.939751259669,264.803797844942
"26",2011,973.66,726.409549216662,603.172175263116,922.664455460981,796.971146999998,679.961473289911,853.303068357116,813.225036027001
"27",2012,82.69,145.068338789885,139.829653393722,140.972240002931,94.2009166666666,87.0470737387303,82.6895521798419,101.227445647042
"28",2013,38.29,110.835306562924,127.85814210563,127.070647432008,66.2622510000001,70.5706664079673,61.9181013215246,81.455416540375
"29",2014,49.07,108.987453880882,117.692792203684,110.142178084279,73.2473043333333,62.6284312175909,67.4811194257318,78.3747582652338
"30",2015,55.52,33.108192560446,55.52,67.1824142961132,77.156669,0,55.441833960058,49.9452293140428
