"","model_names","y90","y70","frwrd_prd","y30","y10"
"1","PCR",161.610667666469,264.025733882423,334.824539551498,405.623345220574,508.038411436527
"2","PCR-BC",171.389265438229,263.529484856137,334.824539551498,411.811473903086,532.545186526171
"3","PCQR",237.629128622572,278.380290895985,330.758778107666,368.665393173483,605.250093864874
"4","PCANN",157.688120238799,251.143309459731,315.748215992407,380.353122525084,473.808311746016
"5","PCANN-BC",170.434272047857,245.407979235377,315.748215992407,406.248714685473,584.949141071445
"6","PCMCQRNN",176.65674360547,259.667703267254,342.703957152444,425.740558648403,508.752560724792
"7","PCSVM",86.1857090125268,166.404076674536,221.858462762785,277.312848851034,357.531216513044
"8","PCSVM-BC",106.639739700913,164.450370213097,221.858462762785,299.306084874561,461.554895308493
"9","PCRF",226.005680323619,316.490126975229,379.041380333334,441.592633691439,532.077080343048
"10","PCRF-BC",182.562007625715,281.193611211352,379.041380333334,510.93565704427,786.961232551197
