Year	OwyheeObs	BigBend_SNTL_SWE	BuckskinLower_SNTL_SWE	FawnCreek_SNTL_SWE	GranitePeak_SNTL_SWE	JackCreekUpper_SNTL_SWE	LaurelDraw_SNTL_SWE	MudFlat_SNTL_SWE	SouthMtn_SNTL_SWE	TaylorCanyon_SNTL_SWE	BigBend_SNTL_P	BuckskinLower_SNTL_P	FawnCreek_SNTL_P	GranitePeak_SNTL_P	JackCreekUpper_SNTL_P	JacksPeak_SNTL_P	LaurelDraw_SNTL_P	MudFlat_SNTL_P	SouthMtn_SNTL_P
1986	399.89	4.4	1.6	20.3	33	16.1	5.9	2.3	22.1	0	13.4	17.3	28.8	29.9	22.8	30.5	24.8	17	30.5
1987	63.38	2.3	6.8	12.4	17.2	12.7	4.9	0	12.2	0	6.4	9.4	13.4	18.8	12.1	14.3	10.7	6.8	16.1
1988	53.37	6.8	1.8	10.3	12	15.1	5.1	0	14.4	0	9.6	9.9	15.2	12.4	15.4	18.3	14.4	8	17.8
1989	345.35	10.5	12.7	25.6	38.5	26.5	10.7	4.8	31.7	4.2	13	20.4	30.3	32.1	26.9	33.8	25.9	14.9	31.4
1990	118.74	5	5	18.3	11.5	17	6	1	7.8	0	8.2	11.5	19	14.8	14.5	18.9	14.1	9.3	17.2
1991	155.14	2.4	8.1	14.5	13.4	13.7	8.4	1.2	14.9	0	6.4	11.2	17.8	15.7	14	17.1	13.6	6.7	17.6
1992	23.74	0	0	6.9	10.3	9.2	0	0	0	0	6.6	9.7	13.5	15.6	11.8	15.9	9.4	6.3	16.8
1993	413.73	8.4	7.9	19.8	30.4	25.3	6.2	2.3	23.1	0.8	12.4	18.2	25.5	27.6	23	29.2	21.7	15.7	30.7
1994	44.26	0.4	3.2	12.8	8.8	10.2	5.6	0	10.4	0	6	9.1	14.3	12.9	11	13.2	10.8	5.5	14.6
1995	429.3	3.9	7.8	19.9	34.2	15.9	6.4	2.2	23.5	0	10	17.5	22.7	26.4	18.8	25.6	18.6	13.4	26.5
1996	363.54	10.2	10.3	17.1	29.5	19.9	10.1	5.8	17.4	6.3	12.2	19.8	22.3	25.8	23.9	28.7	21.8	15.1	27.2
1997	377.41	8.4	5.7	18.9	27.1	22.7	8.5	2.6	23.1	2.6	14.5	18.1	27.4	28.8	24.1	29	22.9	15.1	31.8
1998	628.74	7.2	12.2	15.1	30.9	20.3	9.9	4.2	17.2	2.9	9.1	17.3	20.2	24.8	18.7	23.5	18.2	11.8	22.1
1999	358.57	8	11.9	18.5	22.8	18.5	10.9	6.6	29.2	0	8.4	15.3	21.2	23.2	16.5	22.6	16.1	10.9	23.6
2000	146.01	8.8	9.8	18	22.4	18.2	12.4	6	13.9	1.6	8.8	13.2	20.4	21.3	16.9	22.6	16.3	10	18.8
2001	114.65	2	1.7	12	11.4	16.3	3	0	5.7	0	7.5	11.1	18.8	16.2	15.7	19.3	12.6	9	16.9
2002	249.26	10.4	12.8	14.3	23.3	18.4	10.1	6.4	18.7	5.8	9	14.7	19.4	23.4	17.6	23	17	12.4	22.9
2003	109.91	2	0	12.1	16.1	12.4	4.2	0	5.3	0	7.4	9.9	15.5	17	14.8	19	13.3	8	17
2004	152.01	3.6	8.6	14	19.7	19.4	5.1	1.2	11.5	0	9.7	14.6	21.4	21	18	23.5	16.1	12.8	23.8
2005	553.66	7.7	10.3	15.6	20.1	14.9	8.8	0.8	8.7	5.1	9.1	14.9	18.9	19.7	16.8	23.4	15.2	9.8	19
2006	869.61	14.5	12.8	19.3	26.9	24.7	15.2	10.9	19.7	9.6	14.2	20.5	27.1	25.6	25.9	32.9	25.2	17.7	34.9
2007	62.9	1.8	3.7	11.3	12.4	11.4	0.6	0	7.5	0	9.4	11.9	18.6	16.3	17.7	19.9	16.1	9.6	21.4
2008	329.45	11.6	12.4	14.5	19.9	13.9	13.4	9	22.1	7.8	10.7	19	22.6	23.1	19.5	23.5	20.1	13.2	26.7
2009	225.2	10.1	8.3	14.5	13.2	14.7	11	3	13.9	3.2	12.6	15.5	22.9	16.9	20.7	25.4	18.3	9	22.7
2010	257.02	8.4	9.2	15.5	14.2	13.9	11.1	8	16.5	2.6	9.5	13.4	18.1	18	15.1	20	14.8	10.4	20.5
2011	973.66	13.8	17.6	21.4	32.5	19.4	13.5	10.7	22.3	5.3	15.3	23.5	28.3	32.3	24.4	31.4	22.9	16.8	33.2
2012	82.69	2.8	6.1	8.7	13.2	11.7	2.2	0	12.3	0	10.6	14.7	18.2	16.5	16	19.9	15.6	9.9	22.8
2013	38.29	2	5.2	10.9	15.5	10.4	2.7	0	4.3	0	10	14.4	19.2	18.6	16.6	18.7	14.6	8.2	20.4
2014	49.07	2.2	4.8	12.5	13.2	12.3	4.2	0	7	0	8.2	13.6	17.1	17.5	16.1	17.9	14.8	8.4	17.9
2015	55.52	0	0	4.2	6.7	7.9	0	0	0	0	8	13	16.3	15	16.6	17	14.4	9.8	19.4
