"","year","prd_PCMCQRNN","res_PCMCQRNN","prd_PCMCQRNN_LOOCV","res_PCMCQRNN_LOOCV","obs","y90_PCMCQRNN","y70_PCMCQRNN","y30_PCMCQRNN","y10_PCMCQRNN","Ymod_PCMCQRNN_1","Ymod_PCMCQRNN_2","Ymod_PCMCQRNN_3"
"result.1",1986,411.217927281645,11.3279272816454,416.893018952336,17.003018952336,399.89,245.145956747512,328.179586099032,494.236031174499,577.20897297105,0,0.333333333333333,1
"result.2",1987,9.66592081805697,-53.714079181943,37.9604042921952,-25.4195957078048,63.38,0,0,92.5503929542139,175.510274297281,0.761904761904762,1,1
"result.3",1988,53.8909415317061,0.520941531706093,78.4134622778805,25.0434622778805,53.37,0,0,136.818747925069,219.808707687143,0.666666666666667,1,1
"result.4",1989,598.002042419837,252.652042419837,568.662601215071,223.312601215071,345.35,432.035205614889,515.044325987753,680.883502604937,763.663945675979,0,0,1
"result.5",1990,116.369123049674,-2.37087695032638,132.195968130832,13.4559681308319,118.74,0,33.4604547161219,199.346070430819,282.366421473535,0.523809523809524,1,1
"result.6",1991,71.5873553041273,-83.5526446958727,76.0511377147511,-79.0888622852489,155.14,0,0,154.530516136171,237.530522021799,0.619047619047619,1,1
"result.7",1992,0,-23.74,0,-23.74,23.74,0,0,11.6902548246097,94.5768653322235,0.952380952380952,1,1
"result.8",1993,425.621769587924,11.8917695879238,431.488314041568,17.7583140415678,413.73,259.5489152524,342.585150765461,508.63382466863,591.596398466722,0,0.285714285714286,1
"result.9",1994,0,-44.26,0,-44.26,44.26,0,0,38.5622945503561,121.47588368946,0.904761904761905,1,1
"result.10",1995,342.703957152443,-86.5960428475566,318.120216625061,-111.179783374939,429.3,176.656743605469,259.667703267254,425.740558648402,508.752560724792,0,0.523809523809524,1
"result.11",1996,500.43120999531,136.89120999531,512.223795527974,148.683795527974,363.54,334.377924689638,417.415616817946,583.399782431095,666.296468791365,0,0.0952380952380952,1
"result.12",1997,440.201938757776,62.7919387577764,446.297464133137,68.8874641331374,377.41,274.129719211038,357.167828204641,523.207106833261,606.158423161771,0,0.285714285714286,1
"result.13",1998,342.742276976265,-285.997723023735,312.75508601014,-315.98491398986,628.74,176.695040092446,259.706017176219,425.77887287284,508.790857842332,0,0.523809523809524,1
"result.14",1999,322.815257685303,-35.7547423146975,306.227076429271,-52.3429235707295,358.57,156.781589337435,239.782790652739,405.85404837275,488.874213054065,0,0.571428571428571,1
"result.15",2000,297.465842987305,151.455842987305,304.339684536903,158.329684536903,146.01,131.453584403299,214.44027681527,380.50534914826,463.533844777336,0.0476190476190476,0.619047619047619,1
"result.16",2001,35.931433654219,-78.718566345781,37.5414641880094,-77.1085358119906,114.65,0,0,118.842497066081,201.821098819075,0.714285714285714,1,1
"result.17",2002,364.734136109362,115.474136109362,370.051730864608,120.791730864608,249.26,198.675258109412,281.695358237101,447.766642080577,530.767934041583,0,0.476190476190476,1
"result.18",2003,39.1949536986855,-70.7150463013145,40.650243002596,-69.259756997404,109.91,0,0,122.109146473482,205.089899236352,0.714285714285714,1,1
"result.19",2004,206.786209540226,54.7762095402262,211.111049082682,59.1010490826817,152.01,40.8885542159642,123.804355757817,289.809234287517,372.84849928175,0.285714285714286,0.857142857142857,1
"result.20",2005,258.188239646353,-295.471760353647,254.036401365477,-299.623598634523,553.66,92.2183278897261,175.177956782294,341.224261069636,424.261074718841,0.142857142857143,0.714285714285714,1
"result.21",2006,704.248199913325,-165.361800086675,591.525116611265,-278.084883388735,869.61,538.454018469407,621.392735260551,786.995682703145,869.610583110088,0,0,1
"result.22",2007,54.045052672194,-8.85494732780599,55.5226230524728,-7.3773769475272,62.9,0,0,136.972997679572,219.963049836851,0.666666666666667,1,1
"result.23",2008,474.050084115215,144.600084115215,468.132488193225,138.682488193225,329.45,307.985272080955,391.024763604956,557.036300135725,639.958525153937,0,0.19047619047619,1
"result.24",2009,285.775914993022,60.575914993022,283.546341823026,58.3463418230257,225.2,119.775094489636,202.754314278123,368.814967627131,451.846522204653,0.0952380952380952,0.666666666666667,1
"result.25",2010,273.20839340972,16.1883934097201,277.425699938918,20.4056999389184,257.02,107.220971305739,190.191607170947,356.246406798316,439.280698609785,0.0952380952380952,0.666666666666667,1
"result.26",2011,679.961473289911,-293.698526710089,572.510477769307,-401.149522230693,973.66,514.120602325551,597.079027841964,762.74317662169,845.399496398502,0,0,1
"result.27",2012,87.0470737387303,4.35707373873032,90.5618226535143,7.8718226535143,82.69,0,4.16848366952587,170.002719661569,253.01057161626,0.571428571428571,1,1
"result.28",2013,70.5706664079673,32.2806664079673,96.4301893603111,58.1401893603111,38.29,0,0,153.512975825815,236.512435324965,0.619047619047619,1,1
"result.29",2014,62.6284312175909,13.5584312175909,66.4606041798471,17.3906041798471,49.07,0,0,145.563960590807,228.559022649271,0.619047619047619,1,1
"result.30",2015,0,-55.52,0,-55.52,55.52,0,0,55.5134652598893,138.44272670219,0.857142857142857,1,1
