"","year","prd_PCRF","res_PCRF","prd_PCRF_LOOCV","res_PCRF_LOOCV","obs","y90_PCRF","y70_PCRF","y30_PCRF","y10_PCRF","Ymod_PCRF_1","Ymod_PCRF_2","Ymod_PCRF_3"
"1",1986,389.848637666667,-10.041362333333,382.497880666667,-17.3921193333328,399.89,236.812937656953,327.297384308562,452.399891024772,542.884337676381,0.0120030231634828,0.391935719359669,0.999999633183752
"2",1987,105.553808333333,42.1738083333334,160.162346,96.7823460000001,63.38,-47.4818916763809,43.0025549752286,168.105061691438,258.589508343048,0.346606436491807,0.943885805847036,0.999999999995279
"3",1988,70.598049,17.228049,86.3237023333333,32.9537023333333,53.37,-82.4376510097144,8.04679564189519,133.149302358105,223.633749009714,0.588643610409807,0.986336411200421,0.999999999999947
"4",1989,456.860902333334,111.510902333334,560.228348666667,214.878348666667,345.35,303.82520232362,394.309648975229,519.412155691439,609.896602343048,8.98727502222167e-05,0.0389377062330669,0.99973327365866
"5",1990,167.684922666667,48.9449226666668,254.267970666667,135.527970666667,118.74,14.6492226569525,105.133669308562,230.236176024772,320.720622676381,0.118437511291502,0.78812178715807,0.999999999161951
"6",1991,143.698953666666,-11.4410463333336,140.437979666667,-14.7020203333333,155.14,-9.33674634304796,81.1477003085616,206.250207024771,296.734653676381,0.409331426265235,0.960241025516553,0.999999999998524
"7",1992,58.2931653333334,34.5531653333334,98.3481946666667,74.6081946666667,23.74,-94.7425346763809,-4.25808802477133,120.844418691438,211.328865343048,0.54907571418351,0.982401364507235,0.999999999999887
"8",1993,389.074878333334,-24.6551216666663,367.135657666667,-46.5943423333335,413.73,236.039178323619,326.523624975229,451.626131691438,542.110578343048,0.0166544055704841,0.442124081824109,0.999999812207652
"9",1994,102.516200333333,58.2562003333335,172.778306333333,128.518306333333,44.26,-50.5194996763809,39.9649469752287,165.067453691438,255.551900343048,0.30847266933764,0.930905758058498,0.999999999990208
"10",1995,379.041380333334,-50.2586196666663,335.644273,-93.655727,429.3,226.005680323619,316.490126975229,441.592633691438,532.077080343048,0.0311233977144611,0.547053867348436,0.999999954726755
"11",1996,357.580270666667,-5.95972933333286,345.899499333333,-17.6405006666668,363.54,204.544570656953,295.029017308562,420.131524024772,510.615970676381,0.0255616672336857,0.512888377556015,0.999999927513179
"12",1997,380.708524,3.29852400000038,383.264899666667,5.85489966666711,377.41,227.672823990286,318.157270641896,443.259777358105,533.744224009715,0.0118037390729536,0.389469167423507,0.999999620873552
"13",1998,575.367994,-53.3720060000001,496.088374666668,-132.651625333332,628.74,422.332293990286,512.816740641895,637.919247358105,728.403694009714,0.000666926563862699,0.110129486038837,0.999968419603618
"14",1999,354.194256666667,-4.37574333333311,367.618127333334,9.04812733333353,358.57,201.158556656953,291.643003308562,416.745510024772,507.229956676381,0.0164876938220613,0.440529143477801,0.999999808170334
"15",2000,227.656725666666,81.6467256666662,287.172544,141.162544,146.01,74.6210256569518,165.105472308561,290.207979024771,380.69242567638,0.0723541836670091,0.699956480589939,0.999999995558758
"16",2001,90.1589606666667,-24.4910393333333,80.4330583333333,-34.2169416666667,114.65,-62.8767393430476,27.607707308562,152.710214024771,243.194660676381,0.607728627415222,0.987969661154528,0.999999999999964
"17",2002,242.355893666666,-6.90410633333389,231.828637,-17.4313630000003,249.26,89.3201936569518,179.804640308561,304.907147024771,395.39159367638,0.15990301240868,0.838398812793718,0.999999999742424
"18",2003,86.8108966666667,-23.0991033333333,73.3490856666668,-36.5609143333332,109.91,-66.2248033430477,24.2596433085619,149.362150024771,239.846596676381,0.630337469688902,0.989707271206188,0.999999999999977
"19",2004,182.943970333333,30.933970333333,258.770949666667,106.760949666667,152.01,29.9082703236186,120.392716975228,245.495223691438,335.979670343047,0.111127117377879,0.777029440343717,0.999999998942497
"20",2005,464.478596000001,-89.1814039999985,273.83372,-279.82628,553.66,311.442895990287,401.927342641897,527.029849358106,617.514296009716,0.0890322129976403,0.737617139211516,0.999999997720745
"21",2006,741.352131333332,-128.257868666668,629.314726333333,-240.295273666667,869.61,588.316431323618,678.800877975227,803.903384691437,894.387831343046,7.63873398846247e-06,0.0095930740412784,0.99804060065954
"22",2007,76.325381,13.425381,95.9875996666666,33.0875996666666,62.9,-76.7103190097144,13.7741276418952,138.876634358105,229.361081009714,0.556894987272224,0.983242396785093,0.999999999999903
"23",2008,347.571072666667,18.1210726666667,372.854143,43.4041430000001,329.45,194.535372656952,285.019819308562,410.122326024771,500.606772676381,0.0147684498134437,0.423287395706918,0.999999758604909
"24",2009,268.496276,43.2962759999996,337.316215000001,112.116215000001,225.2,115.460575990285,205.945022641895,331.047529358104,421.531976009714,0.0301536813898018,0.541500747684213,0.999999951091914
"25",2010,265.468413666667,8.44841366666668,281.836755,24.8167549999998,257.02,112.432713656952,202.917160308562,328.019667024771,418.504113676381,0.0787130926387408,0.715313090810862,0.999999996593971
"26",2011,796.971146999998,-176.688853000002,646.820198666665,-326.839801333335,973.66,643.935446990283,734.419893641893,859.522400358102,950.006847009712,3.88736889073041e-06,0.00641344187790634,0.996909104517244
"27",2012,94.2009166666666,11.5109166666666,105.234633333333,22.5446333333333,82.69,-58.8347833430477,31.6496633085619,156.752170024771,247.236616676381,0.526166937877304,0.97973924338722,0.999999999999827
"28",2013,66.2622510000001,27.9722510000001,93.1342636666668,54.8442636666668,38.29,-86.7734490097142,3.71099764189534,128.813504358105,219.297951009714,0.566316651871382,0.984212870791144,0.999999999999919
"29",2014,73.2473043333333,24.1773043333333,93.747335,44.677335,49.07,-79.788395676381,10.6960509752285,135.798557691438,226.283004343048,0.564295288611297,0.984008520293432,0.999999999999915
"30",2015,77.156669,21.6366689999999,102.968946,47.448946,55.52,-75.8790310097144,14.6054156418952,139.707922358105,230.192369009714,0.53371739437514,0.980650484778984,0.999999999999849
