"","year","prd_PCRF","res_PCRF","prd_PCRF_LOOCV","res_PCRF_LOOCV","obs","y90_PCRF_BCbased","y70_PCRF_BCbased","y30_PCRF_BCbased","y10_PCRF_BCbased","Ymod_PCRF_BC_1","Ymod_PCRF_BC_2","Ymod_PCRF_BC_3"
"1",1986,469.184544333333,69.2945443333331,504.177798333333,104.287798333333,399.89,256.897093679846,366.796668267829,600.151550890636,856.883421405431,0.000731827737712043,0.218179550090465,0.919368114349731
"2",1987,61.297915,-2.08208499999997,59.3744153333334,-4.00558466666659,63.38,33.5613448343918,47.9201821580089,78.4100742205847,111.955539147582,0.914802627152155,0.999919795364274,0.999999998688182
"3",1988,56.4734883333334,3.1034883333334,59.0117576666667,5.64175766666668,53.37,30.9198506445737,44.1486077853022,72.2389020559299,103.144334366377,0.916817078683948,0.999923888454864,0.999999998788791
"4",1989,405.953585333333,60.6035853333332,514.891364000001,169.541364000001,345.35,222.274847881671,317.363831951985,519.271218424905,741.405797549218,0.000626461982866129,0.205222345566571,0.912462923027381
"5",1990,91.1603369999999,-27.5796630000001,52.2912916666668,-66.4487083333332,118.74,49.9118691061634,71.2656778838222,116.608536174397,166.495134338421,0.949632304712512,0.999973809099343,0.999999999757569
"6",1991,131.999379333333,-23.1406206666668,104.866668333333,-50.2733316666666,155.14,72.2726157649113,103.192470857328,168.847520311063,241.081309007395,0.563677814336739,0.994822431561718,0.999998946749338
"7",1992,46.0614156666667,22.3214156666667,68.5316953333332,44.7916953333333,23.74,25.2190003225895,36.0088113642465,58.9202658116512,84.1279355000323,0.856713606005869,0.999738905904944,0.999999991897824
"8",1993,434.753936333334,21.0239363333338,468.383240666667,54.6532406666667,413.73,238.04452581961,339.879423869847,556.110496669388,794.003439508891,0.00124295995289849,0.26709867941694,0.940333394292967
"9",1994,64.1782983333333,19.9182983333333,93.3744556666668,49.1144556666668,44.26,35.1384291835672,50.1719703368538,82.0945182524759,117.216186534659,0.658120574365743,0.997528904652674,0.99999969805309
"10",1995,337.515707,-91.7842929999998,225.755283,-203.544717000001,429.3,184.801693827546,263.860407340721,431.7304379998,616.418360366793,0.0705580363323952,0.824277720650896,0.99906766506553
"11",1996,354.881384666667,-8.65861533333322,348.457812333333,-15.0821876666667,363.54,194.31025264216,277.436552496902,453.943371613852,648.133184754407,0.00829841140936893,0.50315913393476,0.985632708840789
"12",1997,349.524849666667,-27.8851503333332,322.358327,-55.0516730000003,377.41,191.377286199672,273.248918084647,447.091676110951,638.350583837313,0.0128798966682903,0.56891972881355,0.990684036514322
"13",1998,486.846714999999,-141.893285000001,382.784288666667,-245.955711333333,628.74,266.568074032585,380.604650812712,622.743663534053,889.139471869577,0.00472272502845237,0.4238485983274,0.976546141335573
"14",1999,369.667198666667,11.097198666667,434.437141333334,75.8671413333338,358.57,202.406218864943,288.995816295236,472.856319350388,675.136390567384,0.00208561058405808,0.322228657737694,0.957075620406601
"15",2000,246.962709333333,100.952709333333,315.633009666667,169.623009666667,146.01,135.219706164711,193.067979209342,315.901313112136,451.041300225813,0.0144466536687137,0.586479979720576,0.99175057388409
"16",2001,87.015117,-27.634883,59.1915246666666,-55.4584753333334,114.65,47.6422343136398,68.0250708635628,111.306194355578,158.924492064671,0.915821508240174,0.99992188162256,0.99999999873982
"17",2002,323.150338,73.8903379999998,374.481752333334,125.221752333334,249.26,176.935960028309,252.629849793087,413.355276079972,590.182949833037,0.00540436678393902,0.442203914863993,0.979014425986442
"18",2003,92.5018813333335,-17.4081186666665,78.5832803333334,-31.3267196666666,109.91,50.6464062315805,72.3144567955252,118.324566791966,168.945268375146,0.780648590924338,0.999258076307188,0.999999957695729
"19",2004,186.146154,34.1361539999997,220.890987333334,68.8809873333336,152.01,101.920052967462,145.523019544126,238.10875145277,339.971123740574,0.0770372378910751,0.836000499361966,0.99920392821753
"20",2005,428.020109666668,-125.639890333332,287.510785,-266.149215,553.66,234.35740595535,334.615038960105,547.497086061776,781.705562458026,0.0234991669854462,0.66170589912007,0.995288494615435
"21",2006,845.407849666664,-24.2021503333365,724.107024999997,-145.502975000003,869.61,462.90096724252,660.922509807916,1081.38646325491,1543.96695385581,3.86973935388479e-05,0.060704234124221,0.735751232261498
"22",2007,62.533444,-0.366555999999981,61.7983446666667,-1.1016553333333,62.9,34.2378286878996,48.8860776330343,79.9905020757736,114.212073699069,0.900739588026698,0.999887526805579,0.999999997799972
"23",2008,346.123350666667,16.6733506666667,361.697645000001,32.2476450000006,329.45,189.514798725647,270.589692956611,442.740721930284,632.138449028389,0.00666381988677124,0.471518355595933,0.982473096904147
"24",2009,254.809036666666,29.6090366666664,274.451196666666,49.2511966666664,225.2,139.515920390321,199.202063608783,325.937806831344,465.371110882596,0.0295551735876281,0.697096134743903,0.99648327971689
"25",2010,263.493211333333,6.4732113333331,275.178402666666,18.1584026666661,257.02,144.270897213457,205.991160662475,337.046014821343,481.231076158121,0.0291786783519234,0.695126520917681,0.996423378507081
"26",2011,846.240249666664,-127.419750333336,692.838699333327,-280.821300666673,973.66,463.356757062554,661.573269625052,1082.4512002339,1545.48712702144,5.70725986134744e-05,0.0728439541079586,0.765546105320187
"27",2012,106.645095,23.9550949999998,129.910679666667,47.2206796666665,82.69,58.3902696405321,83.3712037611336,136.415782594644,194.775723422372,0.383806285075615,0.982481882277686,0.99999095015246
"28",2013,62.9209263333335,24.6309263333335,92.6945113333333,54.4045113333333,38.29,34.4499852835916,49.188998472434,80.4861503304929,114.919760035698,0.663813761003259,0.997645783494629,0.999999721446706
"29",2014,55.8632796666667,6.79327966666673,62.47217,13.40217,49.07,30.5857465348288,43.6715674163634,71.4583524105226,102.0298641647,0.896650922308343,0.99987687819614,0.999999997472104
"30",2015,60.052968,4.53296799999996,65.022241,9.50224099999996,55.52,32.8797047248377,46.946924202699,76.8175989980183,109.681802695373,0.880511554867917,0.999828850294685,0.999999995798696
