"","year","prd_PCR","res_PCR","prd_PCR_LOOCV","res_PCR_LOOCV","obs","y90_PCR","y70_PCR","y30_PCR","y10_PCR","Ymod_PCR_1","Ymod_PCR_2","Ymod_PCR_3"
"1",1986,363.79347608241,-36.0965239175904,362.266830015619,-37.6231699843806,399.89,191.351926658063,293.310346676514,434.276605488305,536.235025506757,0.0319677261993834,0.462949556995576,0.999997257710802
"2",1987,62.0004432110984,-1.37955678890157,61.9014196983518,-1.47858030164819,63.38,-110.441106213249,-8.48268619479694,132.483572616994,234.441992635445,0.648178657692741,0.983823907918501,0.999999999993924
"3",1988,35.1067371318675,-18.2632628681325,33.5976729022752,-19.7723270977248,53.37,-137.33481229248,-35.3763922740279,105.589866537763,207.548286556215,0.72268260613305,0.990624722880394,0.999999999998614
"4",1989,570.892028406784,225.542028406784,597.605178423275,252.255178423275,345.35,398.450478982437,500.408899000889,641.37515781268,743.333577831131,0.000157749596552104,0.0326932962316496,0.997410973305964
"5",1990,111.915275652124,-6.82472434787645,111.535957871398,-7.20404212860167,118.74,-60.5262737722235,41.4321462462282,182.398405058019,284.356825076471,0.504549713469827,0.961722042871664,0.999999999926943
"6",1991,119.190895952275,-35.9491040477251,117.263122506347,-37.8768774936526,155.14,-53.2506534720721,48.7077665463795,189.67402535817,291.632445376622,0.487565641332041,0.958046277295593,0.999999999903494
"7",1992,-25.452141248813,-49.192141248813,-31.0133808159277,-54.7533808159277,23.74,-197.89369067316,-95.9352706547084,45.0309881570824,146.989408175534,0.857954386953393,0.997678398567148,0.99999999999996
"8",1993,390.968530121201,-22.7614698787995,389.889067074269,-23.8409329257308,413.73,218.526980696854,320.485400715305,461.451659527096,563.410079545548,0.0197958084031726,0.382714037861098,0.999992875490343
"9",1994,-7.52268009395107,-51.7826800939511,-12.8630610590604,-57.1230610590604,44.26,-179.964229518298,-78.0058094998464,62.9604493119443,164.918869330396,0.825424449426767,0.996489654795871,0.999999999999889
"10",1995,329.732001663023,-99.567998336977,325.977580143238,-103.322419856763,429.3,157.290452238676,259.248872257128,400.215131068918,502.17355108737,0.0567288788824637,0.570160702727555,0.99999926448775
"11",1996,516.338799303617,152.798799303617,530.006158595537,166.466158595537,363.54,343.89724987927,445.855669897721,586.821928709512,688.780348727964,0.000968676925928266,0.0901149688298754,0.999513641896444
"12",1997,412.945873288376,35.5358732883764,414.81359507055,37.4035950705502,377.41,240.504323864029,342.462743882481,483.429002694272,585.387422712723,0.0124392681619933,0.314313793544762,0.999983713520153
"13",1998,393.219145071809,-235.520854928191,381.935377881663,-246.804622118337,628.74,220.777595647462,322.736015665913,463.702274477704,565.660694496156,0.0228120973774672,0.405463809702418,0.999994565449165
"14",1999,351.326891275038,-7.24310872496159,351.034418894254,-7.53558110574585,358.57,178.885341850691,280.843761869143,421.810020680934,523.768440699385,0.0384366395101104,0.496210374537186,0.999998161486434
"15",2000,323.39099511263,177.38099511263,329.967545143071,183.957545143071,146.01,150.949445688283,252.907865706735,393.874124518525,495.832544536977,0.0534261773828809,0.55848146942653,0.999999147058358
"16",2001,64.608755464154,-50.041244535846,61.0654147394041,-53.5845852605959,114.65,-107.832793960193,-5.87437394174137,135.091884870049,237.050304888501,0.650482355583518,0.984073367403513,0.999999999994179
"17",2002,420.217062649732,170.957062649732,429.526620250158,180.266620250158,249.26,247.775513225385,349.733933243837,490.700192055627,592.658612074079,0.00931968155984867,0.276576523977377,0.999973872690599
"18",2003,45.5090497450861,-64.4009502549139,40.4697946766441,-69.4402053233559,109.91,-126.932499679261,-24.9740796608092,115.992179150982,217.950599169433,0.705311547500879,0.989257840901072,0.999999999998007
"19",2004,246.547435340983,94.5374353409828,249.844687813755,97.8346878137554,152.01,74.1058859166357,176.064305935087,317.030564746878,418.98898476533,0.154615210056264,0.771194352803285,0.999999962991139
