"","year","prd_PCR","res_PCR","prd_PCR_LOOCV","res_PCR_LOOCV","obs","y90_PCR_BCbased","y70_PCR_BCbased","y30_PCR_BCbased","y10_PCR_BCbased","Ymod_PCR_BC_1","Ymod_PCR_BC_2","Ymod_PCR_BC_3"
"1",1986,363.79347608241,-36.0965239175904,362.266830015619,-37.6231699843806,399.89,182.653419141844,282.391104579479,455.336504188295,605.6424297355,0.0265148175569433,0.469463302971621,0.997622107514333
"2",1987,62.0004432110984,-1.37955678890157,61.9014196983518,-1.47858030164819,63.38,4.94356983321834,31.0797017916325,103.307605761444,181.29802192707,0.736651293657483,0.993632872346746,0.999999964939587
"3",1988,35.1067371318675,-18.2632628681325,33.5976729022752,-19.7723270977248,53.37,0.0505812537469806,13.0695798985605,67.6117018412567,132.971140696095,0.86547687663395,0.998478310303463,0.99999999772803
"4",1989,570.892028406784,225.542028406784,597.605178423275,252.255178423275,345.35,336.884513084146,467.931724521967,683.931646102897,865.237443087874,0.000716448978299823,0.0917788273511093,0.941776710556233
"5",1990,111.915275652124,-6.82472434787645,111.535957871398,-7.20404212860167,118.74,24.6379575038601,68.7306667720293,165.403254910812,260.901258523165,0.50662150895516,0.969580167456558,0.999999098799395
"6",1991,119.190895952275,-35.9491040477251,117.263122506347,-37.8768774936526,155.14,28.1483064783789,74.4759217155579,174.20045299637,271.887129952536,0.482128831672471,0.965103295293612,0.999998779485072
"7",1992,-25.452141248813,-49.192141248813,-31.0133808159277,-54.7533808159277,23.74,-113.625603578397,-53.9738345214254,-7.44513680599282,0.483690550864125,0.999871719257875,0.999999982429651,1
"8",1993,390.968530121201,-22.7614698787995,389.889067074269,-23.8409329257308,413.73,202.141920173427,306.432671353224,485.635209481747,640.444421715516,0.017892602211914,0.404661604810965,0.996074903560512
"9",1994,-7.52268009395107,-51.7826800939511,-12.8630610590604,-57.1230610590604,44.26,-70.3107356274696,-25.5941673593849,-0.155859506633778,9.13594174150578,0.999327353775384,0.99999979493938,0.999999999999999
"10",1995,329.732001663023,-99.567998336977,325.977580143238,-103.322419856763,429.3,158.651977975938,252.430123536634,417.187976866808,561.602478757384,0.0437624937956007,0.559404678677651,0.998852761750743
"11",1996,516.338799303617,152.798799303617,530.006158595537,166.466158595537,363.54,295.148231133653,418.606075574293,624.164472633639,797.94958692653,0.0021329417705363,0.158718141308987,0.971283774452834
"12",1997,412.945873288376,35.5358732883764,414.81359507055,37.4035950705502,377.41,218.099817028993,325.955898994855,510.059208696743,668.396036298427,0.0124457874611027,0.350111007257229,0.994043727468711
"13",1998,393.219145071809,-235.520854928191,381.935377881663,-246.804622118337,628.74,203.76832021228,308.428804637462,488.139522876669,643.31450692556,0.0200582197117398,0.422897097366474,0.996587429520241
"14",1999,351.326891275038,-7.24310872496159,351.034418894254,-7.53558110574585,358.57,173.810800592238,271.401733703543,441.397470353064,589.580778981831,0.0310243590203332,0.496853583786285,0.998085146563776
"15",2000,323.39099511263,177.38099511263,329.967545143071,183.957545143071,146.01,154.241347139938,246.875864049683,410.062880642387,553.347235468329,0.0414550110465981,0.54934831601979,0.998751729093709
"16",2001,64.608755464154,-50.041244535846,61.0654147394041,-53.5845852605959,114.65,5.71250953377392,32.9429076365955,106.655187325685,185.707350695734,0.740611337528253,0.99384779645425,0.999999967239026
"17",2002,420.217062649732,170.957062649732,429.526620250158,180.266620250158,249.26,223.415544983324,332.429808314609,518.12529865862,677.608283320816,0.0100112680498978,0.31994062878753,0.992489666951117
"18",2003,45.5090497450861,-64.4009502549139,40.4697946766441,-69.4402053233559,109.91,1.14982856103791,19.7238661832217,81.7246980322665,152.406225583183,0.835617192563466,0.997706302657387,0.999999995107351
"19",2004,246.547435340983,94.5374353409828,249.844687813755,97.8346878137554,152.01,102.531339178648,180.273077389025,323.015766299893,451.596720760634,0.117074457030661,0.748035732093143,0.9998201873832
"20",2005,300.050853325749,-253.609146674251,291.086680504071,-262.573319495929,553.66,138.178165931685,226.50128636859,383.767434216066,522.792487719722,0.0695441531909601,0.647606257559198,0.99947840350834
"21",2006,698.031308391777,-171.578691608223,660.459806350023,-209.150193649977,869.61,436.384163009367,583.795780041083,822.318914882486,1019.85213082207,0.000251893940057219,0.0525438081824506,0.899564049347422
"22",2007,76.6880970142353,13.7880970142353,77.6049368977005,14.7049368977005,62.9,9.73552634816251,41.7562248880606,121.976348008257,205.685821584324,0.661958301404673,0.988573226522165,0.999999886421898
"23",2008,529.0724491486,199.6224491486,548.150905562565,218.700905562565,329.45,304.830824774725,430.095366409773,638.139172049178,813.714306900732,0.00159731681193079,0.137790304930701,0.964808997787757
"24",2009,297.164836830839,71.9648368308394,299.697795646492,74.4977956464919,225.2,136.211705493841,223.989985757293,380.50802644824,518.994971415976,0.0621442467570944,0.625910266219173,0.999360802247606
"25",2010,311.531378819894,54.511378819894,313.498184367921,56.4781843679215,257.02,146.044597939329,236.509017783915,396.715609733911,537.85583294743,0.0517615636037575,0.590974387926969,0.999125365514485
"26",2011,715.896116260983,-257.763883739017,654.625035155947,-319.034964844053,973.66,450.577774259359,600.162789951171,841.678103288366,1041.36754622948,0.000277881820806542,0.055437626822434,0.904134218664861
"27",2012,130.871753739472,48.1817537394718,133.314335516603,50.6243355166027,82.69,34.0224379474397,83.7959718024605,188.229096451143,289.293491819933,0.417051259047535,0.950386998381925,0.999997296756619
"28",2013,115.266665536331,76.9766655363313,119.474747749601,81.1847477496005,38.29,26.2398274696199,71.3710255892453,169.461557653788,265.976361457851,0.472841705425737,0.963267582712257,0.999998631818696
"29",2014,107.840313516205,58.7703135162046,111.173700477874,62.1037004778744,49.07,22.7268239573533,65.5349966779369,160.454181324789,254.694990239511,0.508191494930433,0.969850089257986,0.999999116259156
"30",2015,36.9276532864717,-18.5923467135283,35.4059701775293,-20.1140298224707,55.52,0.146575007382094,14.197072268094,70.1187346552957,136.461909784432,0.85774384227989,0.998295885037881,0.999999997195951
