"","year","obs","prd_PCR","prd_PCQR","prd_PCANN","prd_PCRF","prd_PCMCQRNN","prd_PCSVM","prd_ensemble"
"1",1986,37.00561,27.8769708598449,27.2856298755488,26.7592091394436,33.1192197936667,27.9584184115637,30.0077147897696,28.8345271449729
"2",1987,23.03406,26.1692209024228,24.8336412193865,25.0418359317685,22.8522608046666,26.3253707037848,26.4756072683938,25.2829894717372
"3",1988,17.80363,24.9958855236204,23.6265550763663,23.9801845131154,20.6188829873333,25.1879307332677,24.791732805511,23.866861939869
"4",1989,26.2195,24.2622273826719,25.5966633196739,23.3658907975388,26.5441776586666,24.3877816687116,24.2890804486747,24.7409702126563
"5",1990,23.49223,26.781543155003,22.9196784218298,25.6323201833567,28.683417417,27.0021437138207,27.4384617847851,26.4095941126326
"6",1991,17.83339,21.5373922701703,18.3519625928122,21.3852118696199,19.0961365336666,21.8922121338763,23.1295185573871,20.8987389929221
"7",1992,19.57885,23.441226749673,20.5581297887024,22.717450905633,19.8757105073333,23.7290536105727,23.4439151524289,22.2942477857239
"8",1993,25.39043,18.9787292672204,22.4696493706254,19.9312379467399,23.507605721,19.1930870478688,20.2767228642203,20.7261720362791
"9",1994,16.95273,19.3555762331327,16.95273,20.1216906842876,18.68522396,19.7508645429222,20.4111536584736,19.2128731798027
"10",1995,19.99338,26.6058656829746,28.3205860303602,25.4633458172409,24.626222239,26.6494358960769,26.9849421195995,26.4417329642087
"11",1996,58.22479,46.0998560072035,45.3028161299677,51.1991593060201,47.699851196,45.6641635979332,51.2383386195838,47.8673641427847
"12",1997,61.81884,66.9381695916328,66.9386283360444,62.3068855313147,52.9821879256667,65.8849229842489,54.8297495467898,61.6467573192829
"13",1998,36.4681,39.2117203654566,36.4681,42.0769344784794,39.9831348689999,39.0354679686622,41.0958185798682,39.6451960435777
"14",1999,37.86049,34.967579433963,37.86049,35.8411955951819,35.4648151739999,34.7287458612614,33.5779415671318,35.4067946052563
"15",2000,43.55702,36.9059496017062,35.8865202198389,38.6772484971038,39.81586445,36.7393093955291,43.3098305326,38.5557871161297
"16",2001,17.54776,23.3169252032864,19.8841315570034,22.6232100645093,21.123455465,23.6264231231899,24.5446918927849,22.519806217629
"17",2002,18.20033,26.2922188242759,28.7978414561007,25.1610762705832,22.365872519,26.3192219920795,25.1893772120005,25.6876013790066
"18",2003,18.56727,24.7290419202744,22.1160874717305,23.7513065478209,19.9559117353333,24.9696484625569,24.1926805633856,23.2857794501836
"19",2004,23.15901,26.4830041472616,28.7854108315074,25.3442997594598,23.2203691433333,26.5110038271687,25.7784864184717,26.0204290212004
"20",2005,20.00528,17.9866422997239,15.5381521287335,19.4563088339436,19.0821492596667,18.4251700324543,20.205007519704,18.448905012371
"21",2006,30.76166,40.2867119258168,43.1848120245395,43.641186098191,35.562512428,39.895243235616,37.749221137931,40.0532811416824
"22",2007,34.32397,32.8067405627205,32.6186533729518,32.7943430681368,32.266238728,32.7311027560964,38.5327578087926,33.6249727161163
"23",2008,35.58347,31.7112400757781,35.1191816282624,31.3319884624537,33.9125254759999,31.5498405386898,28.5935814298482,32.036392935172
"24",2009,34.10777,27.8236234126294,26.6279508919748,26.7020742795857,31.5431961293334,27.9263897462025,29.1737914084031,28.2995043113548
"25",2010,22.14943,26.0975771421946,24.7744384644595,24.9742771144691,22.815232026,26.2554406413055,26.3843910195461,25.2168927346624
"26",2011,39.01488,33.1976531878771,32.0903276074398,33.3305270139545,36.8520910303333,33.1407470839224,37.9332002146961,34.4240910230372
"27",2012,43.27735,33.9274674789497,31.7756964330145,34.349540734055,40.2984693693333,33.8836049896373,36.4501546843557,35.1141556148909
"28",2013,32.6043,32.4800057092154,31.3276637846663,32.3500962759905,34.8271982213334,32.4453662673484,36.7306557995174,33.3601643430119
"29",2014,34.55405,20.748656101066,16.4447875965705,20.897210885911,28.3603087746667,21.1637906126279,27.5641599113556,22.5298189803663
"30",2015,27.75668,34.8308389822343,29.6124851783232,35.6361231440987,33.572716162,34.8611827478533,34.2209867591518,33.7890554956102
