"","model_names","y90","y70","frwrd_prd","y30","y10"
"1","PCR",24.6833757346328,30.1490711653599,33.9274674789497,37.7058637925394,43.1715592232666
"2","PCR-BC",24.6620682838927,29.7805495014533,33.9274674789497,38.6518135576909,46.673629820811
"3","PCQR",25.2959160863267,29.6653470972532,31.7756964330145,40.1329381709644,45.3587724813991
"4","PCANN",25.0544024710159,30.9367867412223,35.0032370810484,39.0696874208745,44.9520716910809
"5","PCANN-BC",25.2160035929701,30.6119732423025,35.0032370810484,40.0243948109479,48.5890317869688
"6","PCMCQRNN",25.9906049890381,29.7293633663318,33.4725722566305,37.2196096537395,40.9698509909176
"7","PCSVM",28.2458491044584,33.6837506097073,37.4429331806181,41.2021157515289,46.6400172567778
"8","PCSVM-BC",27.2937227454423,33.0392313737293,37.4429331806181,42.216121136588,49.8036535134839
"9","PCRF",29.7086574138215,35.7129680734429,39.8637052576667,44.0144424418905,50.0187531015119
"10","PCRF-BC",29.383006074255,35.2310673748684,39.8637052576667,45.036079296676,53.5862551734708
