Year	ObsFlow_kaf	IrishTaylorFeb1SWE_in	IrishTaylorWYTDPrecip_in	TangentFeb1SWE_in	ThreeCreeksMeadowFeb1SWE_in	ThreeCreeksMeadowWYTDPrecip_in	DeschutesBenhamFallsJanFlowVolume_kaf
1986	37.00561	22.3	32.6	16	12.3	18.3	74.936
1987	23.03406	20.6	28.1	11.8	12.4	17	70.6
1988	17.80363	20.5	29.4	12.5	8.4	19.5	65.209
1989	26.2195	29	38.2	18.7	12.1	22.1	60.763
1990	23.49223	8.3	27.6	8.2	5	17.4	68.245
1991	17.83339	12.7	29.7	5.7	5.1	12.2	57.688
1992	19.57885	10.4	32.2	8.4	5.1	18	55.99
1993	25.39043	33	38.7	23	16.4	21.9	47.715
1994	16.95273	13.4	20.4	10.2	8.3	12.2	58.206
1995	19.99338	29.6	45.7	16.3	13.9	28.2	54.514
1996	58.22479	25.3	58.6	13	12.6	36.4	92.411
1997	61.81884	33.6	57	20	25.4	48.9	142.958
1998	36.4681	18.2	33.4	14	11.6	19.8	103.837
1999	37.86049	35.5	42.2	24.6	23.7	24.5	89.441
2000	43.55702	27.4	32.6	15	13.4	25.3	94.063
2001	17.54776	14.6	20.5	7.2	6.7	11.6	69.651
2002	18.20033	29.7	41.8	21.6	17.2	26.4	60.064
2003	18.56727	15.4	26.4	11.4	4.1	19.4	65.167
2004	23.15901	34.4	43	16.8	16.9	25.7	59.512
2005	20.00528	16.4	22	7.8	6.1	11.5	54.389
2006	30.76166	35.4	51.9	24.2	19.9	38.3	84.556
2007	34.32397	22.3	39.7	15.4	13.7	29.9	71.07
2008	35.58347	31.2	48.3	25.2	18.7	36.7	62.622
2009	34.10777	22.6	35.6	11.2	10	19.5	69.61
2010	22.14943	17.7	28.8	13.4	10.8	21.2	65.571
2011	39.01488	19.7	41.1	12.6	12.6	25.4	74.555
2012	43.27735	18	32.2	14.2	9.1	24	84.754
2013	32.6043	21.2	37.4	14.6	10	25.2	77.294
2014	34.55405	11.1	21	2.6	3.5	11.8	58.549
2015	27.75668	9.2	25.5	3.4	4.2	26.9	79.455
