Year	ObsFlow_kaf	Canyon_SWE	Canyon_P	FisherCreek_SWE	FisherCreek_P	LupineCreek_SWE	MonumentPeak_SWE	MonumentPeak_P	NortheastEntrance_SWE	NortheastEntrance_P	ParkerPeak_SWE	ParkerPeak_P	SylvanLake_SWE	SylvanLake_P	ThumbDivide_SWE	TwoOceanPlateau_SWE	TwoOceanPlateau_P	WhiteMill_SWE	WhiteMill_P
1986	1888.38346	13.8	19.5	37.8	36	8.2	23.5	23	10.6	12.9	25.9	18.3	30	27.4	27.8	36.7	38.2	27.8	27.6
1987	914.52298	7.3	10.1	23.3	19.6	5	14.8	14.7	7.4	7.8	15.2	10.7	15.5	12.4	10.8	19	16.5	16.1	15.7
1988	1050.33719	9.8	13.2	27.1	23.1	5.9	15.3	17.3	8.5	8.2	15.4	9.4	12.9	14.4	13.2	21.6	22.1	16.8	18.6
1989	1546.5005	18.6	17.5	39.5	34.1	12.2	20.2	23.3	12.7	12.2	23.6	19.1	25.8	21.8	22.7	32.4	32.9	27.4	29.6
1990	1520.6281	11.5	14.1	33.5	32.1	8.8	20.2	22.9	10.1	11.7	18.3	14.8	18.4	18.4	14.2	25	26.2	21.5	25.3
1991	1695.07438	11.9	13.9	29.6	29.7	6.7	17.4	19.3	9.4	11.5	18.9	15.7	22	21.6	16.3	25.9	26.1	21.4	24.2
1992	1400.1124	11.7	11.6	24.9	26.4	7.3	16.6	17.5	9.7	10.3	16.6	14.5	15.5	15.3	12	16.4	16.3	19.5	20
1993	1852.91901	13.6	15.6	26.7	25.4	8.2	17.2	19.4	8	9.8	16.2	14.6	18.7	19.1	14.7	23.2	23	17.8	18.4
1994	1219.75141	10.5	12	26.7	24.7	6.6	16.8	17.6	8.9	10.1	18.8	15	16.8	17.3	11.1	19.9	20.1	19	18.4
1995	1731.35603	16.8	19.7	34.6	33.1	11.8	20.9	21.6	9.4	14.5	24.2	20.3	25.6	26.7	19.4	34.2	33.8	24.9	25
1996	2452.20496	21.6	22.7	46.9	45	9.6	26.4	27.9	16.1	18.9	27.7	21.6	26.1	30.9	24	40.6	40.2	36.1	34.8
1997	2777.7124	23.6	26.3	55.2	50	12.3	33.2	32.9	15.9	21.2	31.5	23	32.6	33.1	28.5	45.2	43.7	38.2	37.8
1998	1694.26116	12.5	14.8	29.4	27	8	19.3	20.5	8	12.4	19	15.5	17.9	20.6	15	27.8	27.2	23.1	20.6
1999	1983.62975	17.9	19.2	40.1	36.7	11.6	26.2	25	11.7	14	23.7	21	26.3	27.8	20.9	36.4	31.3	27.8	24.8
2000	1513.91999	13	14.4	31.8	27.4	8.9	19.6	18.7	10.9	12.4	18.1	16.4	19.5	21.2	14.3	25.4	22.4	24.1	21.3
2001	992.83042	8.8	11.3	18.8	19.7	3.8	13	13.1	4.4	7.5	14.2	12.7	14.3	16.4	6.1	19.1	17	13.2	13
2002	1441.5967	12.9	14.6	32.6	31.3	7.2	20.5	19.6	7.7	9.8	19.8	16.2	18.6	21.2	14.9	27.4	24.1	21	18.5
2003	1476.12099	13.4	14.5	36.4	33.4	6.6	20.9	19.5	11.2	13.3	25	20.5	21	23.2	13.9	31.6	26.6	26.8	23.2
2004	1135.45785	10.8	12.7	28.4	28.4	0.5	16.2	16.9	3.5	9.6	16	13.4	14.3	18.1	13.6	24.6	22.1	17.8	19
2005	1331.46645	9.3	10.8	24.8	24.5	5.5	16	16	6	7.5	15.1	12.5	14.8	16.7	11.8	22.9	18.5	17	15.9
2006	1647.06049	14.8	17.2	39	36.8	5	23.9	23.2	10.2	12.4	18.7	16.9	18.2	22.1	16.4	35	28.5	25.5	23.2
2007	1093.62644	11.1	14.7	28.1	28.8	1.2	17.1	19	3.8	12.1	18.1	16.6	14.1	20.2	11.2	23.4	21.7	18.2	19.1
2008	2078.36827	18.3	21.4	42.6	40.2	8.1	24.2	23.3	11	14.1	27.4	25	22.2	26.9	18.2	37.8	31.9	28.8	28.5
2009	2033.11934	13.6	14.7	36.8	35.7	6	24.9	26.9	11.2	13.7	26.2	19.3	20.5	22.6	18	38.1	29.5	24.7	24.3
2010	1535.70248	8	9.7	22.4	21.3	4.8	15.6	15	5.3	8.2	17.5	12.1	13.2	15.9	7.3	19.2	16	15.7	14.6
2011	2437.44793	17.5	18.8	42.9	41.5	10.2	28.4	30	15	16.2	29.8	25.9	25.2	28.7	19.4	35.2	29.1	29.5	29.6
2012	1630.01653	12.4	14.8	36.6	34.7	4.1	20.1	21.9	8	12.9	23.9	23.1	18.3	24.8	14.9	33.3	28	23.4	23.9
2013	1216.20694	10.6	11.8	29.4	28.7	7	19.5	20.3	6.4	10.5	19.5	19.1	16.2	21	13.5	26.5	23.2	20.3	20
2014	2031.31239	15.2	16.5	42.9	38.9	10.4	28.6	28.6	15.5	15.5	31.1	27.9	24.5	27.7	16.6	39.8	33	33.2	28.5
2015	1246.07603	9.6	11	29.3	27.1	0	17.6	19.3	4.8	12.7	19.9	19.2	13.2	18.1	6.8	23.9	21.9	23	22.4
